,gqa,okvqa,vqav2,aokvqa,avg,name
8,64.41405628875815,58.76,79.68,73.44978165938865,69.0759594870367,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Route_Universal_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
9,64.62076641755446,58.6,79.84,73.88646288209607,69.23680732491263,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Route_Universal_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
0,57.40976307839084,53.92,74.0,71.26637554585152,64.14903465606059,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_Universal_lnout_lr4e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
1,60.136746700588326,56.03,75.27,71.70305676855895,65.78495086728682,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_Universal_lnout_lr4e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
2,60.99538877404993,56.27,76.52,73.27510917030567,66.7651244860889,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_Universal_lnout_lr4e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
3,61.94943552234059,57.39,76.95,74.06113537117905,67.58764272337991,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_Universal_lnout_lr4e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
4,62.55366512959135,58.17,77.83,73.53711790393012,68.02269575838037,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_Universal_lnout_lr4e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
5,63.26920019080935,57.8,78.7,75.54585152838428,68.8287629297984,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_Universal_lnout_lr4e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
6,63.46000954046749,58.15,79.09,74.58515283842794,68.82129059472385,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_Universal_lnout_lr4e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
7,63.77007473366195,57.8,79.62,73.7117903930131,68.72546628166876,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_Universal_lnout_lr4e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
8,63.96883447288917,58.25,79.77,73.88646288209607,68.9688243387463,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_Universal_lnout_lr4e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
9,63.97678486245826,57.81,79.93,74.14847161572052,68.9663141195447,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_Universal_lnout_lr4e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
0,57.06789632692002,54.44,73.8,71.09170305676857,64.09989984592214,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_Universal_lnout_lr5e5_8ex8b_2loss_001_top6layer_textinqf_10epo_0331
1,59.85848306567022,56.06,75.25,72.75109170305677,65.97989369218175,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_Universal_lnout_lr5e5_8ex8b_2loss_001_top6layer_textinqf_10epo_0331
2,60.717125139131824,55.3,76.37,73.1877729257642,66.39372451622401,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_Universal_lnout_lr5e5_8ex8b_2loss_001_top6layer_textinqf_10epo_0331
3,61.34520591508984,57.32,76.94,73.62445414847161,67.30741501589037,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_Universal_lnout_lr5e5_8ex8b_2loss_001_top6layer_textinqf_10epo_0331
4,62.6649705835586,58.16,77.93,72.5764192139738,67.8328474493831,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_Universal_lnout_lr5e5_8ex8b_2loss_001_top6layer_textinqf_10epo_0331
5,62.943234218476704,59.1,78.55,74.32314410480349,68.72909458082005,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_Universal_lnout_lr5e5_8ex8b_2loss_001_top6layer_textinqf_10epo_0331
6,63.42820798219113,58.25,79.14,73.62445414847161,68.61066553266569,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_Universal_lnout_lr5e5_8ex8b_2loss_001_top6layer_textinqf_10epo_0331
7,63.555414215296544,58.32,79.57,73.62445414847161,68.76746709094203,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_Universal_lnout_lr5e5_8ex8b_2loss_001_top6layer_textinqf_10epo_0331
8,64.0165368103037,58.45,79.82,73.36244541484717,68.91224555628771,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_Universal_lnout_lr5e5_8ex8b_2loss_001_top6layer_textinqf_10epo_0331
9,64.08013992685642,58.65,79.93,73.62445414847161,69.07114851883202,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_Universal_lnout_lr5e5_8ex8b_2loss_001_top6layer_textinqf_10epo_0331
0,56.9406900938146,54.81,73.85,71.09170305676857,64.17309828764579,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Route_Universal_lnout_lr5e5_8ex8b_2loss_001_top6layer_textinqf_10epo_0331
1,60.20034981714104,55.52,75.37,72.5764192139738,65.9166922577787,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Route_Universal_lnout_lr5e5_8ex8b_2loss_001_top6layer_textinqf_10epo_0331
2,61.19414851327715,54.56,76.38,73.27510917030567,66.35231442089571,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Route_Universal_lnout_lr5e5_8ex8b_2loss_001_top6layer_textinqf_10epo_0331
3,61.217999681984416,57.83,76.88,73.36244541484717,67.3226112742079,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Route_Universal_lnout_lr5e5_8ex8b_2loss_001_top6layer_textinqf_10epo_0331
4,62.64111941485133,57.97,77.97,72.92576419213974,67.87672090174777,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Route_Universal_lnout_lr5e5_8ex8b_2loss_001_top6layer_textinqf_10epo_0331
5,63.03863889330577,58.54,78.49,72.75109170305677,68.20493264909064,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Route_Universal_lnout_lr5e5_8ex8b_2loss_001_top6layer_textinqf_10epo_0331
6,63.61106694228017,58.49,79.1,74.06113537117905,68.8155505783648,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Route_Universal_lnout_lr5e5_8ex8b_2loss_001_top6layer_textinqf_10epo_0331
7,63.66671966926379,58.68,79.56,72.92576419213974,68.70812096535089,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Route_Universal_lnout_lr5e5_8ex8b_2loss_001_top6layer_textinqf_10epo_0331
8,64.0244871998728,59.23,79.74,73.7117903930131,69.17656939822146,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Route_Universal_lnout_lr5e5_8ex8b_2loss_001_top6layer_textinqf_10epo_0331
9,63.91318174590555,59.24,79.87,73.88646288209607,69.2274111570004,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Route_Universal_lnout_lr5e5_8ex8b_2loss_001_top6layer_textinqf_10epo_0331
0,57.020193989505486,53.7,73.8,70.21834061135371,63.6846336502148,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_query_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
1,60.33550643981555,54.9,75.12,72.40174672489083,65.68931329117659,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_query_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
2,60.947686436635394,55.55,76.29,73.01310043668123,66.45019671832915,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_query_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
3,61.45651136905709,57.24,76.39,73.62445414847161,67.17774137938218,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_query_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
4,62.65702019398951,57.34,77.73,75.37117903930131,68.2745498083227,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_query_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
5,63.5156622674511,57.95,78.4,73.62445414847161,68.37252910398068,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_query_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
6,63.6587692796947,57.77,78.75,74.49781659388647,68.6691464683953,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_query_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
7,63.80187629193831,58.11,79.17,74.58515283842794,68.91675728259156,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_query_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
8,63.89728096676737,58.08,79.43,75.02183406113538,69.10727875697569,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_query_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
9,63.937032914612814,58.3,79.54,75.72052401746726,69.37438923302003,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_query_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
0,56.78963269200191,53.55,73.54,70.04366812227074,63.48082520356816,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Route_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
1,59.95388774049929,54.89,75.12,71.52838427947599,65.37306800499383,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Route_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
